Title,Storyline
A Song from the Dark,"After the mysterious death of her husband, a woman hires a reluctant spirit hunter to expel an evil spirit tormenting her family. Unknown to the spirit hunter, the family has a dark secret that they have sworn to keep hidden at all cost."
A Strange House,"Amemiya is an unpopular Youtuber who specializes in the occult. One day, his manager brings him a floor plan with an inscrutable point. With the help of Kurihara and Yuzuki, he begins to look into the plan and reveal the mystery behind."
A Stranger in the Woods,"A young film student is about to make a documentary about an elderly man who has been hiding from the world for many years. But as secrets from his past come to light, their strange relationship takes a fateful turn."
A Stranger's Child,"Soon after Donna wakes up in the hospital with amnesia and a baby, news breaks of a kidnapped baby, causing Donna to question if the baby is hers."
A Thousand Cuts,"True crime hosts covering a 30-year-old murder find their crumbling relationship mirroring the brutal case they're investigating, all while broadcasting live."
A Woman with a Wooden Cart,"Two philosophy students, Arash and Bahman, embark on a journey to a lakeside village for research, where Arash falls in love with a local woman, Setare. Their love story spans decades, battling through a coma, a quest for healing, and the transcendence of time, revealing a profound exploration of love's power over reality."
A kiút,István wakes up in a psychiatric hospital which has been closed for a long time. Will he get out or will he be lost forever in this cursed place?
About a Hero,"The film mixes artificial intelligence and the work of German filmmaker Werner Herzog, with a screenplay generated by AI."
Abraham Ozler,"Revolves around the personal and professional lives of veteran cop Abraham Ozler, ACP Trichur, who at one time has to take up a serial killing case and the mysterious hunt begins."
Absolution,"An aging gangster attempts to reconnect with his children and rectify the mistakes in his past, but the criminal underworld won't loosen their grip willingly."
Acceleration Horology,"A physicist runs an experiment, implementing the theory of quantum entanglement."
Adopt me All hallows Eve II,In a small town called adoption Island known for its low crime rate and very safe living but behind everything there was a monster and if you say his name three times pumpkin pumpkin pumpkin he will appear someone did it again it's up to Piper to figure out how to stop him he's more brutal this time.
Advent,"Made up of three substantial yet uniquely identifiable Christmas tales, ADVENT sees numerous specific lives all caught up over the course of a magical December 24th."
Afraid,The Pike family is selected to test a new home device: a digital assistant called AIA. AIA learns the family's behaviors and begins to anticipate their needs. And she can make sure nothing - and no one - gets in her family's way.
Aftermath,"After waking up in the middle of a forest with no memories, a young woman is targeted by mysterious strangers with a motive as unclear as her way back home."
Agastya - Chapter 1,"Saurya is haunted by a difficult past and grapples with his troubled mind. After a year, his brother embarks on a quest to find him. A touching story unfolds as Nisan delves into Saurya's history."
Aladiner Prodeepe Jevabe Doittyo Elo,"Adnan, like everyone else, has heard the myth of the genie in the lamp. After moving into a new place, he discovers a lamp. What happens when the myth turns real, granting him three wishes?"
Algiers,"The kidnapping of a little girl creates tension and suspicion in Algiers. Only Dounia, a brilliant psychiatrist, and Sami, a police inspector, can unearth the demons of the past."
Aliens Uncovered: The Land of Legends,"In the deserts of Arizona, beneath the vast expanse of the night sky, unseen forces linger, defying explanation and challenging our perception of reality. Journey through time as we explore encounters from Native American folklore to modern sightings, uncovering tales of mysterious crafts, otherworldly beings, and government cover-ups. As we traverse the stunning landscapes of Arizona, we reveal how these legends have shaped a collective fascination with the skies, inviting viewers to ponder: are we truly alone in the universe?"
Aliens Uncovered: The Thunder God,"The oral history of the Superstition Mountains unfolds the mysterious legends linking extraterrestrial encounters with the enigmatic area, exploring the intersection of alien lore and ancient mythology."
Aliens Uncovered: UFOs Over Arizona,"Nevada and New Mexico always get the attention when it comes to UFO sightings and crashes but, A neighboring state has incidents that are hardly discussed. We will take an in depth look into the top 5 UFO cases that have taken place in the state of Arizona."
All Suspects,"A policeman on leave stays in the ""Wuzhixiang"" B&B, with detective novelist Mengzhu, a homeless man, and a pianist. As the B&B owner and waitress both die, the identities of all become confusing. All of them are suspects and detectives."
American Dirge,"""American Dirge"" is a cathartic journey of a man traveling through two battered souls - the American back country and his own."
American Star,"An assassin on a final assignment in Fuerteventura, to kill a man he has never met. When his target is delayed, he finds himself drawn to the island, people and a ghostly shipwreck."
Amityville Turkey Day,"A turkey from hell comes home for dinner on Thanksgiving, terrorizing the film set of an indie horror film"
Amp House Massacre,A group of social media influencers sharing a mansion in the Hollywood Hills find themselves caught in a life and death game of survival as a killer reveals their deepest secrets before killing them off one by one.
An Adventure into Oblivion,N/A
An Angel Knocking on My Door,"Jenna, a tormented nursing student plagued by her own demons, lives a life of solitude and self-destructive behavior. Her world takes an eerie turn when she encounters Amanda, a friendly and vibrant Ghost."
An Intruder Among Us,N/A
An Ordinary Killer,Based on one of the longest cold case files - this 28 year old case was eventually solved by multiple generations of determined detectives and new emerging criminal sciences. This is the 2024 remastered version of the film by CDI.
Anak Perjanjian Syaitan 2,"A young woman named Azlinda in her struggle against a mystical battle that has haunted her since childhood. Although Azlinda has been medically diagnosed with ""anxiety disorder"", she is convinced that the disorder that has haunted her since childhood is closely related to her parents' black history, so much so that her father is no longer willing to raise Azlinda and is determined to hand over Azlinda to a welfare center. Will Azlinda be able to fight the doom pact that has become part of her flesh and blood, or will she continue to live in darkness for the rest of her life?"
Andhagan,"A piano player pretending to be visually-impaired, unwittingly becomes entangled in a number of problems as he witnesses the murder of a former film actor."
Anno 2020,"Spanning seventeen cities and five countries on four continents, ANNO 2020 is a global kaleidoscope of interconnected characters seeking redemption, answers and justice amidst the chaos of Anno MMXX (Year 2020)."
Anomalous Tomsk: Nightmare,"The poltergeist takes possession of a new focal face, and Konstantin, along with Mona and Dementius, go to save him. To do this, they have to go through Buddy's consciousness and fears. Will they be able to achieve their goal?"
Anweshippin Kandethum,Revolves around two major crimes that shook kerala and the subsequent inquiry into the cases by sop.
Apatiya,"Akif's parents, Ahmet and Elnara, who grew up illiterate and without any profession, without love, took Akif out of school and were busy looking for a job for him. A poor family living in a poor house turn to Akif's drug addict uncle Azer, who is engaged in car repair, to provide him with a job. Moreover, Elnara's brother, Mansur, who works as a laborer, took refuge in this poor family so that he would be free from additional expenses. In the background of all this poverty and chaos, a murder occurs at home. The murdered person is hidden and is being searched for by both relatives and the police as a missing person."
"April, Come She Will","On the morning following the eve of their engagement, the fiancée disappears from the man's side. He is left to reminisce about why she chose to run away."
Aquele que Viu o Abismo,"On the other side of the huge pavilion, which serves as a temporary shelter for the pantagruelic mass of new patients that come from ruins of a naive civilization. X observes the recruitment of Prolife Corp."
Aranyar Prachin Probad,"Aranya, a medical student and detective by hobby, and also a cricket fan, starts helping his brother in law (CID officer) in the re-opened murder case of Dr Amit Roy in Panaghat. Investigations reveal a lot of underlying corruption there."
Arcadia,"Radiant psychologist Katerina has to confront her worst suspicions as she accompanies Yannis, an early once-respected doctor, to identify the victim of a tragic car accident at an off-season seaside resort."
Artificial Evil Awakens,"Obsessed with aliens and with making films, a man has his life hacked by Artificial Intelligence after using a mysterious Ouija Board."
Aru Tozasareta Yuki no Sanso de,"Kazuyuki Kuga (Daiki Shigeoka) aspires to become an actor. He auditions for the lead role in a theater company's next work. Among the 300 people who take part in that audition, only 7 people are selected for a final audition round. Kazuyuki Kuga is among the final 7 participants. These 7 people then travel to a snowy mountain villa and stay there for 4 days to take the final audition. By the director's orders, all contact with the outside world are not allowed. Soon, the participants begin to disappear one by one."
Asesinos Notables,N/A
Asher and Ruth,A woman with a troubled past is suddenly haunted by a vampire after losing her job during the pandemic shutdowns.
Astrid's Saints,"ASTRID'S SAINTS is the haunting story of Astrid, a grieving mother who lives isolated in a world ambiguously poised between the supernatural and earthly suffering. Convinced that her prayers and the intercession of the saints can restore her beloved child, Astrid will find herself having to unravel the mysteries that bind her to other grieving mothers, their children, and the young saints to whom they are all devoted."
At Her Feet,Archeology students and their Hawaiian guide encounter unseen allies and a misguided protector as they risk their lives saving artifacts in the path of an erupting volcano in Hawaii Volcanoes National Park.
At Sea,"A hypnotic, hallucinatory reverie at the edge of liminal space. It is a visceral human experience, a rupture, a rhapsody of sound and image, moving beyond the sensory, to be carried deep in the body."
Athomugam,"Playful act of Martin by installing a spy app in his love of life Leena's phone reveals a mysterious character thereby triggering events that questions love,trust, friendship, technology and unravels the thrilling darkside of human actions"
AusWeg,"Ernst drives to the mountains to commit suicide in front of an idyllic panorama, but all his attempts fail because he suddenly gets harassed by a person who looks exactly like him."
Backfire,N/A
Badland Hunters,"When an earthquake turns Seoul into a lawless badland, a fearless huntsman goes on to rescue a teenager from a mad doctor who held the teenager captive in a camp full of dangerous cultists."
Bahirbhoomi,"In the film, a series of murders occurs within the family of the village leader. Their servant inadvertently kills an individual and is apprehended by the authorities."
Bambara Wasanthe,"Ishara, the only beautiful young daughter of an elderly wealthy plantation owner, Clifford, is attacked by extortionists. Clifford has to pay ransom money to save his daughter. However, when the ransom is paid, the police intervene and try to catch the extortionists, but they run away. Meanwhile, three young men are recruited for new jobs in the tea plantation. A love affair develops between one of the young men, the handsome Sameera, and Clifford's daughter Ishara. Greshan, the estate superintendent, who is strict about this, objects to it. He maintains a secret relationship with Clifford's young wife Sherin. Soon Sherin gets murdered and Ishara and Sameera tries to uncover the secrets behind the murder but then unexpectedly, Ishara gets kidnapped again, and its upto Sameera to solve all the mystries and save Ishara."
Barzakh,"Unaware of the evil lurking around her, Farah makes the trip to the family farm to visit her uncle Rachid who has suddenly become very sick. Being that her uncle is her only surviving family, Farah plans to convince Rachid to return to the city with her so she can take care of him. But upon her arrival to the farm, she begins to experience unsettling psychic visions and a series of events with mysterious circumstances which pushes her to reconsider all of her plans and ultimately face her destiny."
Batchack Man - The Peacemakers,The masked crusader from the Land of Calypso Trinidad and Tobago who fights crime and injustice using superpowers derived from some form of super-powered large ferocious ant found in Trinidad.
Bato: Road to Death,"A paramedic, Komal gets assigned to a mission of delivering live human heart for transplant in an ambulance where she encounters mysterious people in her journey, with Manjil and Tony, leading to gruesome mishaps and dreadful events."
Behave,"After the death of their friend, a group of eccentric young adults are whisked away to a villa on the outskirts of London, but a mysterious entity seems to have followed them to their luxurious getaway."
Believer,"A struggling writer finds herself at the center of the story she is covering when brutally attacked by a notorious cult leader and mass murderer, a man who exerts an inexplicable control over his followers."
Beline,"An old, single man leads a retired and lonely life but enjoys it as much as possible. Everything changes when he receives a wrong number phone call, creating a window into the lives of a girl and her live-in partner."
Belyy parokhod,"A Russian man is sent from Moscow to take over the post of director of a music school in a Yakut city. He strives to establish his own order and soon finds himself in a confrontation with Marta Grigorevna, the director of a children's choir. Perestroika is underway, which forces the Sakha people to reassemble their understanding of their identity. The clash of two cultures leads to a mystical rapprochement between the director and his recent rival. Now she must choose between the sacredness of the dark past and love, which has heralded hope for a bright future."
Best Man Dead Man,A bachelor party in the middle of nowhere quickly turns into a night of murder and mystery when the best man ends up with a knife in his head. Everyone is a suspect and only an eccentric private eye in town can solve the mystery.
Bet on Black,"Two filmmaker friends want to create their passion project, but no studio wants to bring it to life. Until they stumble upon a duffle bag in the woods stuffed with cash with a dead body."
Bhagirathi Missing,N/A
Bhediya: The Hunter,A Scientist has a Theory that Man was an Animal in the early times and it took many Centuries for him to Become a Human from an Animal. It is not known how Correct this Theory was.
Bhoothaddam Bhaskar Narayana,"In a small town in southern India, a rash of unsolved murders over the past 18 years has left the region shrouded in mystery. Despite repeated efforts, local police have failed to find any explanation or suspect."
Bigul,"Delves into religious fanaticism, unchecked ambitions, and community resilience. As mysterious murders grip a tranquil village, haunting echoes of Bigul serve as reminders of the terror unfolding on the road to the Goddess temple."
Birthmark,"Set in 1999, Lieutenant Daniel returns home six months after being abducted in a war zone and finds that his six month old pregnant wife, Jennifer suffers from health complications."
Birthright,"After his mother dies, Thomas and partner Beni visit Brazil, where he inherits a house from an unknown grandmother. Two aunts welcome him warmly, but Beni senses something sinister behind the peaceful setting."
Biswas Villa-An Unfinished Story,"A young female journalist experiences ghostly encounters in a rented house, which leave her uncertain whether they're real, just bad dreams, or connected to her past life."
Black,"A young couple move into a serene row house, eager for peace and privacy. A violent storm and unsettling forces unravel their marriage. Vasanth must uncover the truth behind these supernatural occurrences before everything falls apart."
Black Game Night,N/A
Black.White.Red.,"Somewhere in a blurry space between the life and death instincts, BLACK.WHITE.RED. is a contemplative dream in front of the inner eye, shortly before one's own demise. A film that invites you to decipher it, but then refuses to explain it."
Blackwater Lane,Late one night a woman drives by a stranded motorist who is later revealed to have been murdered. After a series of terrifying events the woman believes she is the killer's next victim.
Blink Twice,"When tech billionaire Slater King meets cocktail waitress Frida at his fundraising gala, he invites her to join him and his friends on a dream vacation on his private island. As strange things start to happen, Frida questions her reality."
Bloodline Killer,Bloodline Killer is a terrifying horror-thriller that follows Moira Cole who endeavors to rebuild her shattered life after the murder of her family at the hands of her deranged and obsessed cousin.
Blue Caveman,"A family of misfit artists investigate the mystery of their connection to one of Whitecreek, California's most whispered urban legends: The Church of St. Zombie Do Good."
Blue Christmas,"Chicago 1941. Meet private eye Richard Stone, celebrating at his Christmas Even office party after beating the draft by way of a bribe. He's a disappointment to his secretary and main squeeze, Katie Crocket, whose brother Ben is fighting overseas; and his honest young employee joey Ernest is guilt-ridden over all the divorce-racket keyhole peeping. Worst of all, his equally sleazy partner, Jake Marley, was murdered a year ago tonight and Stone didn't bother solving Jake's ho-ho homicide."
Bo Nan Za,"A string of solitary figures grope their way through the sun-drenched wilderness. Misguided by hopes and driven by shadows, they silently fall into a creeping dependency. Some of these spectral characters coexist in a ""nowadays"" world of different limits. Embarking on a day and night quest through the desolate streets, they end up caught in a bizarre procession of personal rituals. Meanwhile, a dignified urban drifter explores and remaps the common roads of the sleeping city. The highs and lows of urban life might ultimately be transcended. A change of roles is about to come."
Bob & Milo,"World famous detective Milo Thorne partners with Bob the bumbling buffoon to solve a murder mystery. Can they follow leads, bust drug deals, and stop the Italian mafia before its too late?"
Bodiless,"The film refers to a famous criminal case of the 90s. The case of the murder of Ghazaleh Shakur by Arman Abdul Ali, which went back and forth several times until the execution stage."
Boneyard,Inspired by the true events of a serial killer that may still be out there today.
Borderless Fog,A detective is forced to confront the ghosts of her past while investigating a mysterious serial murder case along the Indonesia-Malaysia border.
Bougainvillea,A family entangled in a police investigation surrounding the mysterious disappearance of tourists in Kerala.
Boxes (or) The Next Life of Brian,"A story about Brian, and some things that seem to happen around him."
Bragow,"BRAGOW is what we call a logatome, a very credible-sounding word, but which means absolutely nothing."
Brief History of a Family,"A middle-class family's fate becomes intertwined with their only son's enigmatic new friend in post one-child policy China, putting unspoken secrets, unmet expectations, and untended emotions under the microscope."
Burning Butterflies,"A Lovecraftian horror with jump-scare and gore elements, which will keep the audience to the edge of their seats with bated breath: it explores the uncertainty and absurdity of life unfolding a dark reality."
Buying Time,"In a future plagued by deadly diseases, a desperate father must confront the moral implications of an advanced chip technology that grants extra years of life at the cost of someone else's."
By Day They Meet with Darkness,"In an isolated seaside chapel, a lonely minister prepares for the inevitable."
Caddo Lake,"When an 8-year-old girl disappears on Caddo Lake, a series of past deaths and disappearances begin to link together, altering a broken family's history."
Campton Manor,An author tries to investigate a decades old mystery and finds himself stuck in his own ghost story.
Candlelight My Way,"George and Cathy's marriage is facing challenges that could lead to separation and divorce. George, a devoted Christian relies on his faith to overcome the challenges of life. What is at the core of your faith that nothing can shake?"
Carnage for Christmas,"Lola, a true-crime podcaster, returns home for Christmas only to face a vengeful ghost reenacting the murders of a historical killer. With her community at risk, she must confront the town's buried secrets to stop the slaughter."
Case 19: Vichchhiya,"One of the rarest explored genres in Indian Cinema, a Found Footage Horror Film. It follows the journey of Inspector Jaydev Sinh Solanki, trying to solve one of the most mysterious cases of our time, Case 19: Vichchhiya, which involves a few people missing in the jungle under mysterious circumstances in the town. Watch The Tale of Greed, Curiosity, and Danger."
Cellphone,"Wynne, who is suffering PTSD from the death of her fiancé, starts seeing disturbing images on her cell phone about her future. If she doesn't figure them out in time, she will die."
Chaalchitro: The Frame Fatale,"The thriller delves into the lives of four cops from Kolkata Police, as they go about investigating a series of murders rocking the city. As the plot thickens, the personal lives of the men get stressed and squeezed by the ongoing turmoil."
Chandranum Policeum,"Three police officers accompany a suspected criminal on a day-long journey through challenging terrain, during which they witness a startling incident."
Changle zhen gui shi,"It tells the story of Hu Guohua, aka Hu Bayi's Grandpa."
Chapel,A man becomes a suspect in a serial murder case after waking from a coma with no recollection of who he is
Chapter 51,"An FBI agent investigates footage from film ""Dissident"" where multiple actresses in the same role have died during production, searching for The Hollywood Killer's identity. The suspect pool is vast and deceptive."
Cheat,"Zoe's deteriorating marriage leaves her feeling isolated and longing for connection in the aftermath of a personal trauma. To escape loneliness, she blindly stumbles into a passionate affair, which ultimately leads her down a deadly path."
Chithini,"Chithini is an upcoming Malayalam language feature film Directed by East Coast Vijayan. Details regarding the plot of 'Chithini' are yet to be disclosed. However, given its genre as a horror family emotional thriller."
Churul,N/A
Cidade; Campo,"Two stories of migration, memories and ghosts. After a disaster floods her land, Joana flees to São Paulo and tries to start her life over again. Meanwhile, after her father's death, Flavia moves to his farm with her wife Mara."
Cinderella's Curse,"Based on the same folktale that Disney updated and popularized for children, back in the 1950s."
Cinderella's Revenge,"Cinderella is pushed too far by her evil stepsisters and stepmother, which causes her to switch out her glass shoes and use the assistance of her Fairy Godmother to seek bloody vengeance."
Cities That Live... Die ...Berlin,"Danae comes to Berlin for the first time, carrying with her a letter and a poem. Some people are upset by her presence."
City Hunter,"An exceptional marksman and hopeless playboy, private eye Ryo Saeba reluctantly forms an alliance with his late partner's sister to investigate his death."
Classified,A career CIA hitman who's been solely using the classified section of various newspapers to receive his orders suddenly discovers that his division's actually been shut down for years.
ClearMind,A comedic thriller about virtual reality-gone-wrong.
Cloud Chamber,"Years after the death of her daughter, a rank-and-file scientist is sent to work on an experiment that uses a mysterious technology to pull material from the cosmic vacuum."
Cloud Chamber: The Folded World,"Two unlikely allies-a chemist and a clerk-join forces to investigate a sinister secret. As they delve deeper, they find themselves entangled in a web of danger and intrigue that threatens to upend their lives and expose shocking truths."
Clownface 3,"Detectives investigate murders linked to Clownface's past, despite him being in jail. Turning to Gunner and Chambers, they race to stop the killer before becoming victims themselves, facing betrayal, danger, and a deadly final showdown."
Cluedo,"When game meets murder. 1980s, New York City. Anne Bowman and her husband Edward Bowman, did the same thing each year on Halloween night; a themed annual party. It was the ""Bowman's specialty"" some may say. However, this year's party may just be their most unforgettable one yet. Based on the real life board game ""Cluedo,"" some guests took this party theme too seriously. Which one of them will become a real killer?"
Cold Blows the Wind,"When a married couple hits a jogger while driving drunk, they think their night can't get any worse. But after heading to a remote location to bury the body, they realize their nightmare has just begun."
Colors of Evil: Red,"When a girl's body is found on a beach in Poland's Tricity, a prosecutor teams up with the victim's mother on an impassioned quest for the truth."
Combat Code: Hunt,"A fencing athlete and aspiring soldier becomes entangled in a crisis involving his brother, manipulated by a sinister organization. This group triggers the ""Code : Hunt"" to eliminate a team accountable for the enigmatic murders."
Cora,A woman compulsively accumulates black plastic bags in her bedroom closet. What's in the bags?
Corridor,An inept security guard thinks he's in a crime thriller after eavesdropping on a corporate murder scheme. He entangles an unlikely assortment of night owls in a series of mishaps and misunderstandings to unravel the mystery.
Cose nere,N/A
Cramp My Style,N/A
Creatures of Habit,N/A
Crescent City,"A small town in the south is ravaged by a serial killer, with everyone being a suspect including the police."
Crew Without a Clue,"Found footage, a reality show and a clueless crew reacting to the findings from an abandoned hard drive."
Crime by Design,"Based on the 2019 published book written by Andrea Peter, Amaya June and her friends seek out to solve the murder of her father. The group have a lot to bargain for with some bizarre and supernatural twists along the way."
Crossroad,"A crossroads in a village can grant any wish at the expense of the supplicant's most precious possession, binding them to repentance, forgiveness, and sincerity."
Cuckoo,A 17-year-old is forced to move with her family to a resort where things are not what they seem.
Cult Killer,"After a renowned private investigator is murdered, his protégé takes on the case. As her investigation unfolds, she is forced into a dangerous alliance with his killer to uncover the town's grisly secrets and bring justice to its victims."
DNA,"A prolific murderer begins taking lives. To discover out, a female investigator and her crew start an inquiry. At last, the murderer-who nobody was suspecting-is apprehended. His reasons for killing were personal revenge."
Daft State,"The mysterious psychological destruction of Easton, who is driven to the edge of sanity, and possible self-harm, by those that love him most-his wife and daughter."
Dai jia fa de ren,"After failing his legal exams, Meng, a self-taught law student, is forced to work nights as a taxi driver. During a heated argument with a drunken customer, unable to contain his fury, he pushes the man into a river. The years go by. Now a successful lawyer and father, Meng is haunted by his past."
Daitya,Meera a paranormal resercher gets abucated by villagers because she has been possessed by a devil that can never be killed.
Damaged,Chicago detective Dan Lawson travels to Scotland to link up with Scottish detective Glen Boyd following the resurgence of a serial killer whose crimes match an unsolved case he investigated 5 years previously.
Dan Da Dan: First Encounter,Momo Ayase is a school girl who meets her classmate Ken Takakura (named after the actor). Their unlikely friendship will face them against ghosts and aliens in a series of dark and funny adventures.
Dancing Village: The Curse Begins,"The village still holds many mysteries. Piece by piece of mystery is revealed, including the terror of the most feared entity, namely, Badarawuhi."
Danger Zone,N/A
Danger in the Dorm,"After the murder of her childhood best friend and fellow classmate, Kathleen must catch a killer who's preying on young girls around campus."
Dank Frank,"When podcaster ""Dank Frank"" unleashes the Banshee on Halloween night, a teen's girlfriend vanishes, a VR trial turns nightmarish, and reality spirals into a darkly funny, horror-laced mess of lost love, bad tech, and supernatural mayhem."
Danyang Mahar Tukar Nyawa,"Galang, an ordinary man in the village who loves Resti, a beautiful girl, the daughter of a famous person in the village."
Darah Nyai,A woman named Rara who experiences a strange incident on the South coast. A murder far from humanity sets in motion a vicious chain of revenge.
Dark Deceptions,"Accused of her husband's brutal murder, a tenacious woman must unravel a web of lies and evade deadly threats to prove her innocence and unmask the true killer."
Dark Feathers: Dance of the Geisha,"Kate must choose loyalty to a historical Asian clan, and her non-traditional love, amidst the deaths of her dance partners being investigated by her new lover."
Dark Night of the Soul,"A brilliant scientist gets trapped in her car after a terrible crash. Isolated, struggling to survive, she holds the key to cure a pandemic ravaging the world."
Dave Gentic & Headgun,"Dave Gentic, a man with an old camera as a head, and Headgun, are alone in a sleazy old bar, the Strobelodz, talking nonsense, while stories are happening on the television. But Dave doesn't look okay."
Dead Boys Club,"Firhan, Fang Liang, Prem and Melati are good friends and often make the cemetery their hangout place. Firhan, who lost his mother from an accident 10 years ago, still cannot forget her and his emotions are always in turmoil. He feels that his dreams are reality and believes his mother is still alive. He invites his friends to go to the accident scene to find her. While in the forest, their thoughts were manipulated and they experienced various strange and terrifying events."
Dead Dead Full Dead,This is a Surreal Whodunit Murder Mystery
Dead Man,"A man so-called 'figurehead', who makes money out of his name, living as a 'Dead man' after being falsely accused of embezzlement of 100 billion won."
Deadly Invitations,An influencer comes across a VIP party invite not meant for her and dives headfirst into the side of the industry where secrets are worth killing for.
Demons vs. Ghosts,Our Main character is attacked by three Demons taking the shape of humans in a haunted house down in Texas. Will he survive?
Depravity,A group of roommates accidentally kill an innocent man.
Der Bote,"In his existential crisis, a desperate courier driver delivers an ominous package under strange and questionable conditions. Due to his difficult life circumstances, he is forced to accept this offer, thereby granting a higher power."
Detained,"A woman wakes up in a police interrogation room with no memory of the night prior. However, something does not seem quite right in this police station."
Detective Conan vs. Kid the Phantom Thief,"High school student Kuroha Kaido discovers his late father's secret life as the Phantom Thief Kid, inherits his costume, and embarks on a quest to uncover the mysterious organization behind his father's murder."
Detective Conan: The Million-Dollar Pentagram,"The ""truth"" hidden in the sword cuts through the dark night and leads us under the moon. Love and incidents unfold in turbulent ways. ? The treasure battle mystery that will divide the world has begun."
Deux hommes un destin,"Farid, a young urban dweller, gets lost far from the beaten tracks. His only solution to leave the region is to help a mysterious man who lives as a hermit in the forest. He later discovers that other creatures live in these places."
Dharma Daiva,"A tale of greed and betrayal. As people fight for power and control, when their deceitful schemes unravel and darkness consumes them, a divine force intervenes, revealing consequences of their actions and restoring justice in the family"
Dhusar Pandulipi,"Dhusar Pandulipi follows the mysterious journey of a forgotten manuscript, unlocking secrets that challenge the boundaries between history and the present, with rich emotional and intellectual depth."
Di Ren Jie Zhi Kang Long You Hui,N/A
Di Renjie: Tongtian xuan an,"During the Tang Dynasty, Princess Taiping dreams of riding a ""Silver Snow White Horse"" in a ""dreamland under the moon"". Xuanji, a female diviner, interprets the dream, revealing that the white horse represents a ""celestial horse"", making the princess's dream a reality."
Die Alone,Tells the story of a young man who has amnesia. He bands together with a rugged survivalist in a zombie-like outbreak to find his girlfriend.
Dindin,"When four friends gather for a decadent dinner, free flowing wine and superficial sparring give way to sharp words, wounded egos, and flying plates. A meditation on predators, prey, and the insatiable appetite of a killer instinct."
Dirty Boy,"Raised in an oppressive cult, a reclusive schizophrenic discovers that he's being framed by cult leaders for a series of ritualistic murders and must prove his innocence by saving their next victim and destroying the evil sect."
Dirty Thirty,"Naomi Turner is celebrating her 30th birthday but a night of alcohol and drugs leads to a hangover with no memory and Naomi missing. As her husband, Justin Turner searches for her, he finds nothing but secrets and lies."
Dismissed,"A freelance journalist investigates a mysterious AI corporation after a fire claims the life of its star employee. As he races to uncover the truth, he unravels a web of secrets, exposing the AI software's dangerous impact on the world."
"Disrupted Expectations 4: Art, Words, and Mind Powers","The Research Director loves art. At The Institute, he shares his passion with the visitors. He explains that art is like sorcery, and the artists have mind powers. In private, his viewpoint is down to earth."
Do Patti,Twin sisters harbouring deep secrets and a determined police inspector seeking to uncover the truth in an attempted murder case.
Doctor X: The Movie,"Michiko Daimon is a freelance surgeon who never fails. She does not appear or act like a typical surgeon, but she is highly skilled. The story of her mysterious and solitary background is soon revealed and she also faces the worst crises ever. How will Michiko respond?"
