Title,Storyline
A Christmas Dream,Ashley and her mother Susan are two New Yorkers coming to Italy to sell the grandparents ranch. Once there Ashley falls in love with one of the potential buyers and decides to spend her life with him.
A Christmas Gamble,"Former sports gambling addict, Chance needs $60,000 to save his mother from nursing home eviction. So he falls back into his old habits, only to learn he's never lost a bet on Christmas. Is this the Christmas miracle he's been waiting for? Or just an addict who can't control himself?"
A Christmas Miracle,N/A
A Christmas Reunion,"In ""A Christmas Reunion"" the Samuel's family has been fractured for a decade, each member drifting through life with unresolved tensions and unspoken grievances. The once-close-knit family now struggles with their individual struggles: father Nolan, burdened by regret; while Bernice and Mildred, grappling with loneliness; daughter Amaya, trying to forge her own identity; and son Justice, battling his past mistakes, while Andres keeps a secret that shakes the family. When Bernice, Nolan, and Mildred announce a surprising decision that will impact their futures, they call for a family reunion. Despite their lingering resentments, the siblings reluctantly agree to come home. As they gather at their childhood home, the atmosphere is thick with unresolved emotions. Over the course of a weekend filled with heartfelt conversations, laughter, and confrontation, the family navigates their past traumas and hidden wounds. Through shared memories and unexpected revelations, they begin to mend their broken bonds, rediscovering the love that once held them together. ""A Christmas Reunion"" is a poignant exploration of family, forgiveness, and the enduring ties that connect us, reminding us that it's never too late to heal and reconnect."
A Christmas Storm,"After learning that all her immediate family members have separate plans for the upcoming Christmas, a single mother enlists her sister to help persuade them to spend Christmas Eve together."
A Christmas Thrill,N/A
A Communist Brainwashed My Daughter,"A satire about machismo and environmental messaging: a frustrated Miami science teacher forces students to pick up litter in detention, the drama those students actually care about, and an overworked Cuban father who confronts the teacher."
A Conceptual Artist Called Karl Marx,"The year 1999, a reincarnated Karl Marx chose to become an artist. In 2024, he notices new aspects of reality. For years, Karl used to call Friedrich and leave him messages. Karl made conceptual art. The voice recordings are his artwork."
A Country Called Ghana,A foreigner led by some Nigerians enters a small Ghanaian village with the intention of stealing something precious from them. Will they succeed in their quest?
A Danfo Christmas,"Lagos family reunites amidst grandpa's impending death, facing life challenges, drama, romance while journeying via public transport, uncovering surprises along the way."
A Different Man,"An aspiring actor undergoes a radical medical procedure to drastically transform his appearance, but his new dream face quickly turns into a nightmare."
A Dog's Will 2,"After 20 years missing, João Grilo returns to Taperoá to join his old friend Chicó and, after his story of resurrection spreads, he is disputed as an electoral candidate by the two most powerful politicians in the city."
A European Christmas,"When Christmas movie director Ivy has another 'heartless' flop, she seeks the star of her debut hit in snowy Serbia. Despite refusing to return, he shows her the wonder of Serbian Christmas."
A Family Affair,"A surprising romance kicks off comic consequences for a young woman, her mother, and her movie-star boss as they face the complications of love, sex, and identity."
A Family Affair,Owners of a spiritual retreat risk losing property. Auction interrupts anniversary event. Misunderstandings with younger date and buyers occur. Family conflicts arise as they try to prevent foreclosure.
A Fantastic Relationship,"After a nasty break up, Brian and Katie have to pretend they're still in a relationship in order to impress a family member at a dinner party."
A Florentine Tragedy,N/A
A Frozen Adventure,N/A
A Frozen Rage,"When he accidentally found that the oil thief was the driver who caused his younger brother to become disabled, an accident involved him in dispute with oil thieves. He bravely faced it, became a hero in the fight against oil theft."
A Gangster's Kiss,"When actor Jack is cast in a new 'gangster film,' he asks his life-long friend Danny to shadow 'the family' in hilarious and deadly circumstances."
A Halloween Feast,"Former ballerina Angela descends into madness as her family tries to cope. After an infamous dinner, their lives spiral into unexpected chaos. All skeletons come out at a Halloween party."
A Herner Ferike faterja,"Somewhere in a small village in Hungary three public workers dig the same ditch year after year for aid, while they talk about the same day after day. One of them, Béla learns that the TV news showed a former classmate of them, Frike Herner, whose father was the village's policeman when they were children. Béla recalls how at that time a childish conflict between the two of them grew to a great extent. As he remembers more and more details, begins to realize that human destinies repeat themselves from generation to generation and are just as constant as the always-the-same ditch in front of them. Comical and sometimes painfully thought-provoking story through present and past try to find the answers to questions ranging from the individual to the entire world: are we in God's hand, or is God inside us, and can we shape our own destiny? The film is based on the play of the popular Hungarian writer, János Háy."
A Hip Hop Story,A pioneer of the culture joins forces with a few of rap music's elite performers to attempt to save hip hop.
A Hipster in Rural Spain,Quique is dispatched to a village in deep Spain Teruel to lead its politics of recuperation but soon discovers he was sent there so that his girlfriend and leader of his party could spend more time together.
A House on Fire,"Montse, divorced and with two children who have long since ignored her, has been preparing for a family reunion at her home on the Costa Brava. Nothing, absolutely nothing, will prevent her from enjoying one last weekend with her family."
A Legend,An archeologist noticed that the texture of the relics discovered during the excavation of a glacier closely resembled a jade pendant seen in one of his dreams. He and his team then embark on an expedition into the depths of the glacier.
A Little Family Drama,"A Mexican American family, whose lives revolve around their legendary restaurant, prepares for their annual family reunion dinner oblivious to the fact that a shattered taco truck dream is about to change everything."
A Little Something Extra,"To escape the police, a son and his father find refuge in a summer camp for young adults with disabilities, posing as a resident and his educator. The beginning of trouble and a wonderful human experience that will change them forever."
A Mary Little Christmas,Mary Little's Christmas search for the missing nutcracker to complete her family's heirloom collection leads to unexpected discoveries and romance.
A Mature Amateur 2,Amateur Sleuth Detective Davie and true crime return. Meanwhile we attempt an ill-judged documentary about Kilmacolm and an aborted essay on our filmmaking approach.
A Minor Malfunction,"After breaking his mental control shackle, an office worker tries to leave the office."
A Most Atrocious Thing,A weekend getaway becomes deadly when bad blood turns a group of friends against each other.
A New Year's Ride,"Two years after the events of ""The Christmas Ride,"" Georgia is back to drive passengers safely but this time for New Year's Eve. With an entertaining slew of strangers, she finds herself revisiting an old flame which complicates everything"
A Nice Indian Boy,"When Naveen brings his fiancé Jay home to meet his traditional Indian family, they must contend with accepting his white-orphan-artist boyfriend and helping them plan the Indian wedding of their dreams."
A Nice Jewish Boy,"Follow Bellisha, a Jewish man who lives with his mother, Giselle. The suburb where they live has seen the synagogue shut down, and now the last remaining Kosher grocery story is closing. They are officially the last Jews living there."
A Night with My Crush,N/A
A Party for Karl Marx,"Friedrich funds a contemporary clone of Karl Marx. Marx's hideout is in Peru. Karl will be in a meeting of the Communist Party. Dads, moms, and kids arrive to enjoy a birthday party. Karl freaks out, noticing a priest and nuns."
A Postcard from Rome,"Ernests (70) and Alvine (64), two married postal workers, have developed a scheme to win a trip to Rome, but Alvine's rapidly progressing Alzheimer's disease complicates their scheme."
A Real Pain,"Mismatched cousins reunite for a tour through Poland to honor their beloved grandmother, but their old tensions resurface against the backdrop of their family history."
A Reel Heist,"A group of teenagers making a no-budget heist movie are forced to pull off a genuine heist, when the memory card containing their film is taken by the callous manager of a shopping mall."
A Silent Crime,N/A
A Slice of Misconception,2 VERY different obsessions + 1 BIG confusion = A Slice of Misconception.
A Soweto Love Story,"When her three grown sons show no signs of settling down and starting their own families, a mother uses the coveted family home to entice them into doing the right thing- the first to get married before the New Year wins the home."
A Sudden Case of Christmas,"An American couple bring their 10-year-old daughter to her grandfather's hotel in Italy to tell her that they are separating. Hoping to bring them back together, she asks to celebrate one last Christmas together, even though it's August."
A Thousand Cuts,"True crime hosts covering a 30-year-old murder find their crumbling relationship mirroring the brutal case they're investigating, all while broadcasting live."
A Time to Die,"Part human / part zombie, a soldier from the future is pulled back in time to the present day where everyone considers her to be a monster. But it's her mission to battle the nefarious Zombie Queen and save all of humanity from a zombie apocalypse."
A Trip Elsewhere,"During the Covid-19 pandemic, four anxious strangers take a record-breaking dose of LSD, catapulting them into a shared psychedelic dream where they must find solace and redemption before they can return to the real world."
A Tuesday Wedding,"When incompatible sisters - a free-spirit wanderer and a neurotic bride-to-be - face their harbored resentment, family knots unravel as the wedding day approaches."
A Very Bayou Holiday,"Powerful and beautiful real estate executive, Janeen Davis, has spent the past three years of her life married to her career. Void of any substantive relationship, she has turned the Chicago based real estate firm into a national powerhouse. However, is the cost of her success worth the lonely nights at home? Travel home to Houston, Texas for the holidays with Janeen as she navigates the dynamics of a funny family, old high school relationships, and new love challenges."
A Very Flattened Christmas,Christmas at a roadkill collection company gets bloody as employees are killed off one by one by an evil reindeer who is dead set on killing them all. Will they figure out who's the killer? Or will they all be Flattened?
A Very Special Terrifier Christmas,"Fight off a killer winter and settle in by the fire with Art the Clown. Chestnuts are roasting, terror is toasting, and the screams create the perfect jolly ambient tone to relax to in this fireside special."
A Viagem de Rondônia,N/A
A Vilã das Nove,"A woman is living the best phase of her life, until she discovers that someone has turned her biggest secret into the plot of a primetime soap opera, where she is the villain."
A Violent Breakup,"Paul is a jealous, possessive boyfriend who finally crossed the line that made Isabelle realize she wants out of the relationship - any way possible."
A Wall Away,"It took a lockdown to unlock their hearts. In this award-winning romantic comedy, the solitary residents in a Los Angeles apartment building suddenly find themselves forced to rely on each other during the California stay-at-home. They are about to learn a lot about themselves as well as their rather unusual neighbors."
A Way Out 3,Jay and Smoke are at it again in the latest addition to the a way out series watch as these two try to navigate threw the music business and and achieve success but along the way they encounter a few unpredictable snags that will lead them to trying to find another way out.
A Whole Lotta Lenny,Alex Jones joins Sir Lenny Henry for a retrospective romp through his best bits as host of the Red Nose Day Night of TV
A Wife by Default,N/A
A.R.M,"Set in the Northern Kerala in 1900, 1950 and 1990, three generations of heroes, Maniyan, Kunjikelu and Ajayan, try to protect the most important treasure of the land."
AJ Goes to the Dog Park,"When AJ loses his favorite dog park, he must fight, fish, scrap, scrape, and sap to get it back."
Aaichya Gavat Marathit Bol,"An American-born Marathi, Samar, travels to India seeking a cultured bride. Excited but clueless, he navigates Indian culture and discovers love plus lessons on identity, acceptance, and roots."
Aaram Aravinda Swamy,Arvind is a recovery agent torn between his girlfriend's desire to marry and his fear of commitment. His avoidance sparks a comedic chain of events that challenge his escapist ways as he navigates love and responsibility.
Aavesham,Three teenagers reach Bangalore for their engineering degree and gets involved in a fight with seniors. They find a local gangster named Ranga to help them take revenge.
Abaasylaakh Khaus,"A couple on the eve of their wedding is faced with a major problem - the refusal of a best man at the last minute. In desperation, the guy turns to his eccentric friend Ilya. Together they decide to throw an unforgettable bachelor party, but plans go awry when they rent a country house for the party. Real madness begins and they find themselves in serious trouble."
Ababooned,"In 1957, in a working-class neighborhood of Montreal, a young apprentice typographer participates in the publication of an anti-clerical pamphlet."
Abbabba,"When Dileep's girlfriend is in trouble, a stranger named Akhila offers to help, but only if Dileep helps sneak her into his hostel for 5 minutes. However, those 5 minutes spiral into an endless escapade."
Abendland,N/A
Abhirami,"'Abhirami' is a story about a young lady who lives in Dubai working as a nurse. She is very active on social media platforms. She becomes viral after a post on her social media account where she films a video with a famous scientist who was living a secluded life for a while. After the incident, a PR company hires her for a year and she enjoys her sudden celebrity status. She is invited to various events, interviews etc. She becomes a star overnight. Slowly she finds out that she has lost her freedom and is trapped in the grapple of the company. She cannot decide her own affairs without the consent of the company. She suffers huge losses personally too. Her would-be husband becomes distant from her. She is also threatened by the company to pay an enormous amount as compensation if she breaches her contract. She is plunged into depression. She resolves to make a comeback with the help of the same person who featured with her in the viral post. She finally breaks the chain and emerges out of the virtual world to the real world."
Abigail,"After a group of criminals kidnap the ballerina daughter of a powerful underworld figure, they retreat to an isolated mansion, unaware that they're locked inside with no normal little girl."
About Family,Tells the story of a man who's an elite medical student who decided to become a priest.
Abracadaver,Three magician brothers reunite to pull off an impossible heist: stealing a priceless twin mummy from a heavily guarded location to preserve their family's legacy in the circus world.
Achilles Curse and the Curse of Treasure,A detective who can see people's fatal weak spots investigates a murder at a museum gala. The case begins when thieves steal a treasure in a world where humans are near-immortal but have one vulnerable point.
Ada Nnaya,N/A
Adam Bol,"Three reckless Kazakhstani men on a trip to America experience an emergency landing in Nigeria, which sets off series of misadventures that test their life ideals, leading to profound personal lessons."
Adam Cayton-Holland: Wallpaper,N/A
Adam Ray: Bigfoot & Cigarettes,N/A
Adam i Eva,"Marina and Viktor are the only people left in a huge city, perhaps on the entire planet. After the heroes had somehow arranged their daily life, they were faced with a much more serious question - an existential one. How to revive humanity? Especially considering that they don't like each other."
Adel Mesh Adel,"A comedy about a young lawyer, Adel Al-Amin, whose life is in chaos due to bad luck and his involvement in false testimony. He struggles to make sense of the strange events happening around him."
Adios Amigo,"At a bustling bus stand, two men from contrasting social strata cross paths. One basks in affluence, the other grapples with life's challenges. Together, they embark on a journey laced with humor and unexpected adventures."
Adrienne Iapalucci: The Dark Queen,"Comedian Adrienne Iapalucci takes aim at our public figures, awkward tribute tattoos, virtue signaling and more in this unfiltered stand-up special."
Adult Best Friends,"Inseparable since childhood, levelheaded Katie takes her codependent best friend Delaney on a girls' trip to break the news that she is getting married. Things do not go as planned."
Advent,"Made up of three substantial yet uniquely identifiable Christmas tales, ADVENT sees numerous specific lives all caught up over the course of a magical December 24th."
Adventures of Secret Mailman,"In this ridiculous family comedy, Bradley Kopenhagen must assemble his friends to finish filming the goofy spy series Secret Mailman in honor of his brother's passing."
Afacanlar Kampta,"Zinnia Flower seeds, which can grow in space, were planted in the botanical area of the Misfits Adventure Park 25 years ago, and this was noticed by the documentary team from USA at the end of the year celebrations of the youth camp."
Aflatoon,"Three friends Shree, Aditya and Manav are blind, deaf and dumb respectively. To get rid of their financial problems they decide to start a detective agency. Will they succeed?"
African Giants,"Over a weekend visit in Los Angeles, two first-generation Sierra Leonean American brothers navigate the changing dynamics of brotherhood after a surprise announcement."
Agak Laen,"An old man dies in a failing haunted house ride. The operators bury his body on site, turning it into a popular attraction."
Aging Out,"This story takes place in an orphanage ran by a lovely elderly lady named Grandma Thomason; Grandma Thomason has ran an orphanage for 41 years and has taken care of hundreds of children. Her current home consist of 5 kids age range 11 to almost 18. These children have been together with Grandma Thomason for almost 10 years and they are family. During the 17th birthday party of the oldest child named Kendy; the party takes a bad turn as Grandma collapses and on her death bed she explains to Kendy that she has been lying to her and that it is really going to be her 18th birthday. She lied because if the system found out they would make her leave and Kendy would be on the streets. With Grandma's dying words she tells the older children to keep her death a secret and how Kendy can adopt the others. They have 4 days to keep this secret from visiting social worker, Grandma Thomason's book club and other visitors that lend humor and chaos to this story. Grandma leaves video instructions on how to accomplish this task so none of the children AGE OUT."
Ahir Shah: Ends,"From London's Royal Court Theatre, acclaimed comedian Ahir Shah dishes on class, family and multiculturalism in the UK from his grandfather's view."
Aile Çikmazi,A separated couple joins forces to save their reputations - and perhaps their marriage - when a famous discovery they made in Egypt turns out to be fake.
Air Fryer Slaughter,An Evil Air Fryer claims victims in this Troma-inspired blood bath.
Ajab Gajab Dhamal,"Two prisoners, Jarnail Singh and Tarsem Lal, escape from prison on the day of Baisakhi. However, their troubles increase when they learn that they were to be pardoned by the jail minister."
Ajosepo,A young couple must deal with all kinds of family tensions on the eve of their wedding.
Akrikalyanam,"For a young man considerable wealth, education and good character his marriage is constantly stalled because of the short comings of his Work. This film tells about the problems faced by the youths."
"Aku Jati, Aku Asperger",Jati is a teenager with Asperger's syndrome. He struggles to find his identity amidst various social challenges.
Al Eid Eiden,A family comes together when nothing goes to plan on their roller-coaster ride Eid holiday (in Abu Dhabi).
Al Leib Maa Al Eyal,"After being transferred to a school in a desert region, Allam, a history teacher, faces some unanticipated challenges."
Al medio de la nada,"Marduk, a typical twenty-something Chilean, finds himself navigating the everyday life of Santiago de Chile amidst the unprecedented Covid-19 pandemic, while the most recent social outbreak still resonates. His journey through the streets of Santiago mirrors an entire generation's struggle to find meaning in a world seemingly crumbling around them."
Al otro barrio,N/A
Alaap,"Pablo Majumdar, Aditi Mitra, and Swatilekha Sen working in different IT companies cross paths in the professional sphere where a series of events unfold."
Alakada: Bad and Boujee,A woman whose flashy and glamorous reputation is based entirely on lies hits trouble when her web of deceit starts falling apart.
Alaya Meta,N/A
Alaye,N/A
Alex and Mia's Awesome Movie!!,"Alex is a student in middle school and has a crush on a girl in his school. He has been trying to impress her by being kind and helpful, but unfortunately, a bully in the school has been making his life miserable. The bully constantly teases and taunts Alex, making it difficult for him to focus on his studies and personal life. One day, Alex decides to confront the bully and stand up for himself. He is determined to prove that he is not someone to be messed with and that he won't tolerate being bullied anymore until a fight is settled."
Alfred and His Mischiefs,N/A
Alibaba Aani Chalishitale Chor,"When a group of friends gathers at regular weekend party. But, lights go out briefly on one such occasion, and the group hears a sound of a kiss followed by someone getting slapped."
"Alice Guy, première femme réalisatrice","This program of 14 films, shot or supervised by Alice Guy + an additional one made by an anonymous director, is designed by Gaumont to be presented as a silent film show, on the occasion of the 10th edition of the Play It Again Festival."
Alien Attack: Area 51,Two conspiracy podcasters unearth the secrets of Area 51.
Alien Country,"Reeling from the news of an unexpected pregnancy, Jimmy and Everly unknowingly release an alien invasion in their small town and learn to work together in order to save each other, their town and evidently, the entire galaxy."
Alive in Mo...,"The story of Damian, a boy from a small Moldovan village. Damian dreams of becoming a doctor and believes that he will succeed in Moscow. But upon arriving in the capital, the hero faces harsh reality. His expectations are dashed."
All In,"Poker stars Cheng Jialang and Wei Yifu face off in the championship, but when Cheng's lie-detecting ability transfers to small-time crook Huang Xiaoqi, the unlikely duo teams up for a wild adventure to outsmart Wei and claim victory."
All the Wrong Ingredients,"Desperate to win a high-stakes dessert contest, chef Ben unintentionally cooks up an imaginary friend to help him reinvent the meaning of delicious. But what happens when his ambition becomes a monster?"
All's Fair in Love,"Demi and Kanla are living the dream. Their fashion business is booming, and their friendship bond is unbreakable. However, things take a different turn when they both fall in love with Mbali, a beautiful woman who enters their lives like a whirlwind. Initially unaware of their feelings, Mbali becomes the object of their affection, setting the stage for an intense love triangle."
Alli Eid Dinner,N/A
Alligator Blood,"I am a crocodile, a bloody crocodile. A wounded person who has lost his whole life and has nothing to lose - but still he wants to take big risks."
Almost Popular,"Susie and Bobbie, high school sophomores, go on a quest to fulfill their dream to become part of the elite POP Girls who rule the school. After a series of unfortunate and humiliating attempts, they get their big chance."
Almost Sober Presented by Fattman Deezy,"Fattman Deezy shines a light on the human experience, making us laugh while forcing us to reflect on our own challenges. With impeccable timing leaving audiences both in stitches and deep in thought. Get your funny bone and your thinking cap ready because Fattman Deezy's 'Almost Sober' is the comedy special that hits you right in the gut with laughter and introspection. Join Deezy on a wild ride through his hilarious misadventures and candid reflections on life's absurdities."
Aloga,N/A
Aloha Also Means Goodbye,What if you got a second chance with the one who got away...in Paradise.
Aloha Malandro,"Jairo dreams of a life without much effort. The opportunity arises when his half-brother, gets involved with the sister of smuggler. He sees the perfect chance to rob the guy, but he didn't anticipate falling in love."
Alpacalypse,"After a bad science experiment, genetically engineered alpacas terrorize a small town this holiday season."
Alter weißer Mann,"Heinz Heimlich fulfills the cliche of the the so called old white man. In order to get promoted, he pretends to be political correct. But the facade begins to falter when he invites his superiors to his house for dinner one day."
Alvin Williams: Dont Let the Devil Know,"Comedian Alvin Williams returns to Colorado one week after the presidential election for his 4th Comedy Special to dig deep into why the entire world lost the ability to communicate and how we can fix it (along with your love life) again for good! Filmed At The Comedy Fort in Fort Collins, CO Nov 9, 2024"
Am I Racist?,"A man investigates diversity, equity and inclusion practices, revealing absurdities through hidden social experiments."
Amader Divorce,"Fahim, who pledged to love only his wife, never experienced love before marriage. But on their wedding night, his bride's divorce plea shatters his dreams. Will Fahim agree to divorce or seek another path in life?"
Amar Prem Ki Prem Kahani,"Amar and Prem, along with their families, gather in Punjab for their wedding, which is disrupted by cultural differences and a jealous woman."
Amazon Bullseye,A Korean archery coach embarks on a journey to train 3 Amazonian natives to win Olympic medals.
Ambiguous Indifference,A down on his luck mechanic sets out to publish his first novel with guidance from eccentric friends.
Ambrosia!,"Quilliam Frankfurt (Chris Oxley), owner/operator of The Ambrosia Inn, an upscale bed-and-breakfast, must navigate a house full of eccentric guests, rebellious staff, and absurd calamities all under the threat of an impending storm."
Ame no naka no yokujô,"A love triangle unfolds between two men and a woman, exploring the intense and bittersweet emotions of their entanglement, set against the backdrop of Chiayi City's retro streets evoking old Japan."
American Japa,N/A
Amiche mai,N/A
Amici per caso,"Two roommates with contrasting lifestyles, must cohabitate despite their differences. Omero's homosexuality fuels Pietro's homophobia, leading to conflicts. Over time, they learn to understand and appreciate each other beyond prejudice."
Amigos Sem Compromisso,"Follows a headhunter from Sao Paulo who recruits an art director from Salvador, for a job interview. In a short time, their friendship turns into a casual friends-with-benefits relationship until they both fall in love."
Amityville Bigfoot,"Birdwatchers, activists, scientists, and a film crew unknowingly converge in Bigfoot's neck of the woods, where something even more sinister lurks."
Amityville Turkey Day,"A turkey from hell comes home for dinner on Thanksgiving, terrorizing the film set of an indie horror film"
Amityville Webcam,"This is a tale about a group of monsters who are playing your typical game of Humans and horror. This however, is not your typical game as it takes place in Amityville with a Demonic Camera and a host of youtubers."
